content_id,genre_id,is_primary_genre
227,3,FALSE
228,13,TRUE
228,14,FALSE
228,20,FALSE
229,26,TRUE
230,22,TRUE
231,1,TRUE
231,30,FALSE
232,12,TRUE
232,13,FALSE
233,8,TRUE
234,1,TRUE
234,21,FALSE
235,25,TRUE
235,10,FALSE
236,1,TRUE
236,38,FALSE
236,30,FALSE
237,22,TRUE
237,15,FALSE
237,19,FALSE
238,22,TRUE
238,15,FALSE
238,19,FALSE
239,22,TRUE
239,15,FALSE
239,19,FALSE
240,22,TRUE
240,15,FALSE
240,19,FALSE
241,26,TRUE
241,29,FALSE
242,3,TRUE
242,4,FALSE
242,27,FALSE
243,2,TRUE
243,10,FALSE
244,2,TRUE
244,18,FALSE
244,10,FALSE
245,13,TRUE
245,15,FALSE
245,19,FALSE
246,7,TRUE
246,2,FALSE
247,13,TRUE
247,15,FALSE
247,20,FALSE
248,26,TRUE
248,13,FALSE
249,10,TRUE
249,3,FALSE
250,12,TRUE
250,17,FALSE
250,21,FALSE
251,13,TRUE
251,15,FALSE
251,20,FALSE
252,13,TRUE
252,14,FALSE
252,20,FALSE
253,15,TRUE
253,19,FALSE
254,13,TRUE
254,15,FALSE
254,20,FALSE
255,25,TRUE
256,1,TRUE
256,15,FALSE
257,13,TRUE
257,15,FALSE
258,13,TRUE
258,15,FALSE
258,20,FALSE
259,17,TRUE
259,13,FALSE
259,15,FALSE
260,17,TRUE
260,13,FALSE
260,15,FALSE
261,5,TRUE
261,2,FALSE
261,3,FALSE
262,17,TRUE
262,15,FALSE
262,20,FALSE
263,1,TRUE
263,38,FALSE
263,30,FALSE
264,25,TRUE
265,17,TRUE
265,14,FALSE
266,31,TRUE
266,2,FALSE
266,9,FALSE
267,7,TRUE
267,2,FALSE
268,28,TRUE
268,13,FALSE
268,14,FALSE
269,13,TRUE
269,15,FALSE
270,25,TRUE
271,26,TRUE
272,3,TRUE
272,11,FALSE
272,4,FALSE
273,25,TRUE
274,5,TRUE
274,2,FALSE
274,3,FALSE
275,10,TRUE
275,3,FALSE
276,5,TRUE
276,2,FALSE
276,18,FALSE
277,2,TRUE
277,9,FALSE
277,18,FALSE
278,2,TRUE
278,3,FALSE
278,34,FALSE
279,39,TRUE
280,26,TRUE
280,29,FALSE
280,12,FALSE
281,8,TRUE
282,17,TRUE
282,15,FALSE
283,13,TRUE
283,14,FALSE
283,15,FALSE
284,1,TRUE
284,15,FALSE
285,17,TRUE
285,20,FALSE
286,13,TRUE
286,15,FALSE
287,25,TRUE
288,2,TRUE
288,9,FALSE
288,10,FALSE
289,5,TRUE
289,2,FALSE
289,18,FALSE
290,2,TRUE
290,9,FALSE
290,3,FALSE
291,1,TRUE
291,30,FALSE
292,31,TRUE
292,2,FALSE
293,17,TRUE
293,13,FALSE
293,14,FALSE
294,17,TRUE
294,15,FALSE
294,20,FALSE
295,15,TRUE
295,21,FALSE
296,26,TRUE
296,17,FALSE
297,6,TRUE
297,3,FALSE
297,4,FALSE
298,36,TRUE
299,17,TRUE
299,13,FALSE
299,15,FALSE
300,22,TRUE
300,14,FALSE
300,15,FALSE
301,12,TRUE
301,21,FALSE
302,26,TRUE
302,17,FALSE
302,15,FALSE
303,1,TRUE
303,15,FALSE
304,17,TRUE
304,35,FALSE
304,15,FALSE
305,1,TRUE
306,28,TRUE
306,13,FALSE
306,15,FALSE
307,13,TRUE
307,15,FALSE
308,22,TRUE
309,40,TRUE
310,8,TRUE
311,5,TRUE
311,7,FALSE
312,2,TRUE
312,18,FALSE
312,3,FALSE
313,8,TRUE
314,2,TRUE
314,9,FALSE
314,3,FALSE
315,13,TRUE
315,14,FALSE
315,20,FALSE
316,13,TRUE
316,15,FALSE
317,2,TRUE
317,9,FALSE
317,10,FALSE
318,1,TRUE
318,38,FALSE
319,1,TRUE
319,15,FALSE
320,2,TRUE
320,9,FALSE
320,10,FALSE
321,7,TRUE
322,2,TRUE
322,9,FALSE
322,10,FALSE
323,2,TRUE
323,9,FALSE
323,10,FALSE
324,10,TRUE
325,25,TRUE
326,12,TRUE
326,17,FALSE
327,12,TRUE
327,17,FALSE
328,26,TRUE
328,23,FALSE
329,26,TRUE
330,13,TRUE
331,12,TRUE
331,17,FALSE
331,23,FALSE
332,31,TRUE
332,2,FALSE
332,24,FALSE
333,26,TRUE
333,22,FALSE
333,23,FALSE
334,28,TRUE
334,17,FALSE
334,35,FALSE
335,13,TRUE
335,20,FALSE
